Name,Distance,Density,Temp,Mass,radius,Flux,Period,Eccentricity
TOI-1634 b,35.2736,4.7,924,4.91,1.79,121,0.989343,0.16
TOI-1685 b,37.6153,5.3,1062,3.03,1.468,236,0.66913924,0
TOI-169 b,407.84,0.76,1715,251.40353,12.173,1443,2.2554477,0
TOI-1695 b,45.1309,5,698,6.36,1.9,39,3.1342791,0.097
TOI-1696 b,64.9172,9.44,533,56.6,3.24,13.5,2.50031,0
TOI-172 b,342.831,7.53,1198,1722.6386,10.817,299,9.47725,0.3806
TOI-1728 b,60.798,1.14,767,26.78,5.05,57.78,3.49151,0.057
TOI-1736 b,88.9482,2.3,1186,11.9,3.05,329.6,7.073091,0.16
TOI-1759 b,40.0654,1.91,443,10.8,3.14,6.39,18.85019,0
TOI-181 b,96.2338,0.7562,895,46.1687,6.956,102.43,4.532,0.1543
TOI-1899 b,128.438,0.85,378,212.94503,11.097,3.4,29.090312,0.044
TOI-1937 A b,415.135,1.28,2097,638.8351,13.978,3230,0.94667944,0
TOI-2000 b,175.713,3.07,1488,11,2.7,628,3.09833,0
TOI-2000 c,175.713,0.829,1038,81.7,8.14,149,9.127055,0.063
TOI-2010 b,109.19,1.36,400,408.72733,11.814,4.09,141.834025,0.212
TOI-2015 b,47.3444,2.32,512,16.4,3.39,11.47,3.348968,0
TOI-2120 b,32.1755,20.6,384,6.8,2.122,3.61,5.7998164,0.32
TOI-2134 b,22.6202,2.607,666,9.13,2.69,32,9.2292005,0.06
TOI-2134 c,22.6202,0.599,306,41.89,7.27,1.4,95.5,0.67
TOI-2136 b,33.3631,9.53,403,15,2.09,4.4,7.85191,0
TOI-216.01,177.945,0.76,497,200,11.29,10.1,34.556,0.029
TOI-216.02,177.945,0.34,628,30,7.69,25.9,17.089,0.132
TOI-2180 b,116.685,3.32,348,875.61726,11.321,2.71,260.79,0.3683
TOI-2193 A b,337.064,0.06,1763,298.7587,19.84,1600,2.1225735,0
TOI-2196 b,259.947,3.31,1860,26,3.51,2000,1.1947268,0
TOI-2207 b,373.345,0.8,1259,203.41018,11.153,406,8.001968,0.174
TOI-2236 b,355.59,0.93,1688,502.16888,14.37,1356,3.5315902,0
TOI-2364 b,219.614,0.61,1091,71.51139,8.608,237,4.0197517,0
TOI-2379 b,211.247,6.21,624,1830.69162,11.725,25.3,5.4693827,0.342
TOI-238 b,80.5407,6.8,1311,3.4,1.402,728,1.2730991,0.18
TOI-238 c,80.5407,1.83,696,6.7,2.18,58.3,8.465651,0.36
TOI-2384 b,191.51,2.26,890,624.85065,11.489,104.3,2.13570304,0
TOI-2406 b,55.419,27.4,449,15.6,2.86,6.69,3.0766891,0.17
TOI-2421 b,327.927,0.52,1534,105.83686,10.368,923.6,4.3474032,0
TOI-2567 b,504.775,0.269,1352,63.88351,10.929,558,5.983944,0
TOI-257 b,76.9028,0.65,1027,43.86032,7.163,186,18.38818,0
TOI-2570 b,361.857,0.563,1431,260.61929,13.641,699,2.9887615,0
TOI-2583 A b,566.189,0.144,1456,79.4571,14.46,750.9,4.5207265,0
TOI-2587 A b,373.675,0.216,1445,69.28659,12.072,728,5.45664,0
TOI-2641 b,344.045,0.092,1387,122.68177,18.103,602,4.880974,0.18
TOI-269 b,57.0225,2.28,531,8.8,2.77,19,3.6977104,0.425
TOI-2796 b,350.343,0.15,1205,139.8445,17.262,352,4.8084983,0
TOI-2803 A b,494.818,0.287,1893,309.8827,18.114,2150,1.96229325,0
TOI-2818 b,312.674,0.34,1376,225.65817,15.278,598,4.039709,0
TOI-2842 b,460.995,0.304,1471,117.59651,12.845,781.8,3.5514058,0
