Name,Distance,Density,Temp,Mass,radius,Flux,Period,Eccentricity,Gravity,esi,Habbitable accourding to esi
K2-182 b,154.83,5.6,969,20,2.69,146.9,4.7369683,0.04,27.08641395,0.23127972,Unhabbitable
K2-199 b,107.518,7.2,913,6.9,1.73,116.2,3.2253993,0.02,22.59347122,0.27873821,Unhabbitable
K2-199 c,107.518,2.9,694,12.4,2.85,38.6,7.3744897,0.03,14.96091105,0.24485668,Unhabbitable
K2-216 b,115.461,8.2,1103,8,1.75,248,2.1748,0,25.6,0.27266945,Unhabbitable
K2-222 b,101.321,3.68,871,8.7,2.35,96,15.38857,0.16,15.43866003,0.2511495,Unhabbitable
K2-237 b,314.995,0.562,1828,433.20012,16.197,1860,2.18053539,0.042,16.18249493,0.056926338,Unhabbitable
K2-24 b,170.562,0.63,767,21,5.68,60,20.8851,0,6.37894267,0.16066823,Unhabbitable
K2-24 c,170.562,0.31,606,27,7.82,24,42.3633,0,4.326894774,0.1547089,Unhabbitable
K2-261 b,213.283,0.43,1030,67.69745,9.505,180,11.633478,0.248,7.343348568,0.09526881,Unhabbitable
K2-263 b,162.481,5.8,470,14.9,2.41,8.17,50.818947,0.15,25.14075171,0.37128647,Unhabbitable
K2-266 d,77.5586,2.03,538,8.9,2.93,13.95,14.697,0.047,10.15969901,0.2953673,Unhabbitable
K2-266 e,77.5586,2.21,490,14.3,2.73,9.58,19.482,0.043,18.8034188,0.33869937,Unhabbitable
K2-27 b,249.645,1.87,902,30.9,4.48,116,6.771315,0.251,15.08789063,0.17192851,Unhabbitable
K2-285 b,154.961,3.07,1089,9.68,2.59,234.31,3.471745,0,14.14170928,0.23160032,Unhabbitable
K2-285 c,154.961,1.95,741,15.68,3.53,50.35,7.138048,0,12.33169354,0.21175412,Unhabbitable
K2-292 b,114.293,7.4,795,24.5,2.63,67,16.9841,0.04,34.712082,0.24218592,Unhabbitable
K2-3 b,44.0727,3.11,501,5.11,2.078,10.5,10.0546535,0.107,11.59727324,0.36466942,Unhabbitable
K2-3 c,44.0727,3.7,372,2.68,1.582,3.17,24.646729,0.048,10.49416556,0.59721169,Unhabbitable
K2-3 d,44.0727,2.1,312,1.6,1.62,1.6,44.556456,0.097,5.974698979,0.81426382,Habbitable
K2-32 b,157.682,0.67,817,16.5,5.13,77.7,8.99213,0,6.144340709,0.15825801,Unhabbitable
K2-32 c,157.682,2.7,619,12.1,3.01,25.6,20.6602,0,13.08815576,0.27321712,Unhabbitable
K2-32 d,157.682,1.38,537,10.3,3.43,14.5,31.7154,0,8.579758434,0.3054255,Unhabbitable
K2-329 b,233.237,0.694,650,82.6358,8.676,45.7,12.4551225,0.0697,10.75858672,0.12081162,Unhabbitable
K2-36 b,109.749,7.2,1224,3.9,1.43,529,1.422614,0,18.69040051,0.28459917,Unhabbitable
K2-36 c,109.749,1.3,788,7.8,3.2,90,5.340888,0,7.46484375,0.21573349,Unhabbitable
K2-38 b,192.69,9.3,1310,7.7,1.655,490,4.01593,0.11,27.54994934,0.27485586,Unhabbitable
K2-38 c,192.69,3.8,916,8.3,2.29,117,10.56103,0.161,15.51076448,0.24198474,Unhabbitable
K2-39 b,307.47,1.17,1670,39.8,5.71,1356,4.60497,0.152,11.96291264,0.12733106,Unhabbitable
K2-419 A b,268.685,0.916,377,196,10.55,3.3,20.35847252,0.042,17.257474,,Unhabbitable
K2-66 b,513.877,7.8,1372,21.3,2.49,840,5.06963,0,33.66719892,0.23259631,Unhabbitable
K2-79 b,256.011,0.73,1022,9.2,4.09,181,10.9947,0.23,5.389733443,0.18368617,Unhabbitable
KELT-11 b,99.1596,0.093,1712,61.97685,15.356,1433,4.736529,0,2.575724258,0.060686021,Unhabbitable
KELT-12 b,368.03,0.209,1800,301.9385,19.952,1749,5.031623,0,7.433129457,0.047137501,Unhabbitable
KELT-18 b,321.376,0.377,2085,375.0394,17.598,3152,2.8717518,0,11.86796739,0.052578597,Unhabbitable
KELT-21 b,470.878,1.24,2051,1242.7153,17.777,2950,3.6127647,0,38.53725495,0.052117928,Unhabbitable
KELT-23 A b,126.261,0.503,1561,298.12454,14.83,991.18,2.255251,0,13.28438642,0.062115995,Unhabbitable
KELT-24 b,96.5173,3.13,1459,1646.3594,14.258,750.9,5.5514926,0.077,79.36581906,0.064648655,Unhabbitable
KELT-4 A b,218.05,0.228,1823,286.68266,19.044,1840,2.9895932,0,7.746600428,0.049152311,Unhabbitable
KELT-9 b,204.455,0.53,4050,915.3504,21.196,44900,1.4811235,0,19.96666952,0.044014664,Unhabbitable
KPS-1 b,262.706,1.31,1459,346.4347,11.545,729,1.706291,0,25.47179712,0.078029026,Unhabbitable
Kepler-10 b,185.506,5.57,2188,3.26,1.47,3820,0.8374907,0,14.7845805,0.28055312,Unhabbitable
Kepler-10 c,185.506,4.78,578,11.4,2.355,18.68,45.294301,0.13,20.1441573,0.3002536,Unhabbitable
Kepler-102 b,107.796,62,857,1.1,0.46,90,5.286965,0.1,50.94517958,0.26131397,Unhabbitable
Kepler-102 c,107.796,52,777,1.7,0.567,61,7.071392,0.094,51.82136869,0.28936059,Unhabbitable
Kepler-102 d,107.796,10.7,686,3,1.154,36.9,10.311767,0.092,22.07677913,0.33000703,Unhabbitable
Kepler-102 e,107.796,2.5,590,4.7,2.17,20.3,16.1456994,0.089,9.781477627,0.31095415,Unhabbitable
Kepler-102 f,107.796,37,495,4.3,0.861,10,27.453592,0.1,56.84447088,0.42449705,Unhabbitable
Kepler-103 b,494.832,1.28,973,9.8,3.486,149.9,15.9653287,0.093,7.903098337,0.19962157,Unhabbitable
Kepler-103 c,494.832,1.29,434,38,5.45,5.95,179.60978,0.095,12.53766518,0.29675668,Unhabbitable
Kepler-107 b,525.997,5.8,1592,3.8,1.536,1073,3.1800218,0.1,15.78436957,0.27850034,Unhabbitable
Kepler-107 c,525.997,13.5,1378,10,1.597,602,4.901452,0.08,38.42520945,0.27663158,Unhabbitable
Kepler-107 d,525.997,67,1173,7.7,0.86,315,7.95839,0.11,102.0281233,0.29513441,Unhabbitable
Kepler-107 e,525.997,3.18,955,14.1,2.903,138.7,14.749143,0.1,16.39649862,0.22198703,Unhabbitable
Kepler-109 b,474.861,1.7,1276,4.9,2.49,442,6.4816307,0.11,7.74503637,0.23399611,Unhabbitable
Kepler-109 c,474.861,2.4,859,8.2,2.65,91,21.22265,0.098,11.44321823,0.23761538,Unhabbitable
Kepler-111 c,657.223,3.42,352,222.47988,7.084,2.48,224.77833,0.176,43.44699183,0.37232068,Unhabbitable
Kepler-138 b,66.8624,1.7,452,0.07,0.64,9.9,10.3134,0.02,1.674804688,0.40243559,Unhabbitable
