Name,Distance,Density,Temp,Mass,radius,Flux,Period,Eccentricity,Gravity,esi,Habbitable accourding to esi
TOI-238 c,80.5407,1.83,696,6.7,2.18,58.3,8.465651,0.36,13.81617709,0.26595683,Unhabbitable
TOI-2384 b,191.51,2.26,890,624.85065,11.489,104.3,2.13570304,0,46.39143887,,Unhabbitable
TOI-2406 b,55.419,27.4,449,15.6,2.86,6.69,3.0766891,0.17,18.69040051,0.2120112,Unhabbitable
TOI-2421 b,327.927,0.52,1534,105.83686,10.368,923.6,4.3474032,0,9.648794241,0.084911246,Unhabbitable
TOI-2567 b,504.775,0.269,1352,63.88351,10.929,558,5.983944,0,5.241480732,0.081929078,Unhabbitable
TOI-257 b,76.9028,0.65,1027,43.86032,7.163,186,18.38818,0,8.377375249,0.12004219,Unhabbitable
TOI-2570 b,361.857,0.563,1431,260.61929,13.641,699,2.9887615,0,13.72588055,0.067331293,Unhabbitable
TOI-2583 A b,566.189,0.144,1456,79.4571,14.46,750.9,4.5207265,0,3.724107425,0.06386964,Unhabbitable
TOI-2587 A b,373.675,0.216,1445,69.28659,12.072,728,5.45664,0,4.659258539,0.074804561,Unhabbitable
TOI-2641 b,344.045,0.092,1387,122.68177,18.103,602,4.880974,0.18,3.668639232,0.052644392,Unhabbitable
TOI-269 b,57.0225,2.28,531,8.8,2.77,19,3.6977104,0.425,11.2395574,0.27671201,Unhabbitable
TOI-2796 b,350.343,0.15,1205,139.8445,17.262,352,4.8084983,0,4.599273559,0.056174088,Unhabbitable
TOI-2803 A b,494.818,0.287,1893,309.8827,18.114,2150,1.96229325,0,9.255389075,0.051367387,Unhabbitable
TOI-2818 b,312.674,0.34,1376,225.65817,15.278,598,4.039709,0,9.474234419,0.061191385,Unhabbitable
TOI-2842 b,460.995,0.304,1471,117.59651,12.845,781.8,3.5514058,0,6.984772921,0.070794518,Unhabbitable
TOI-3023 b,389.916,0.245,1596,197.05361,16.432,1084,3.9014971,0,7.152034795,0.056592048,Unhabbitable
TOI-3261 b,300.141,3,1722,30.3,3.82,1466,0.8831331,0,20.34894877,,Unhabbitable
TOI-3331 A b,217.193,1.82,1488,721.47048,12.98,818.5,2.0180231,0,41.96577586,0.070092099,Unhabbitable
TOI-3364 b,277.899,1.6,1264,530.77344,12.229,425,5.8768918,0,34.7819053,0.075040222,Unhabbitable
TOI-3629 b,130.091,0.8,690,82.63539,8.295,39,3.936551,0.05,11.76953693,0.12760873,Unhabbitable
TOI-3688 A b,396.378,0.76,1534,311.47184,13.081,924.3,3.246075,0,17.83869059,0.069468532,Unhabbitable
TOI-3693 b,176.436,0.89,801,324.18498,12.599,68.6,9.088516,0,20.01459531,0.086003123,Unhabbitable
TOI-3714 b,112.71,0.85,750,222.47988,11.321,54,2.154849,0.03,17.01168124,0.097229401,Unhabbitable
TOI-3757 b,181.139,0.27,759,85.3,12,55.4,3.438753,0.14,5.805138889,0.091442969,Unhabbitable
TOI-3785 b,79.7634,0.61,582,14.95,5.14,19.1,4.6747373,0.11,5.545504095,0.20215668,Unhabbitable
TOI-3807 b,421.745,0.289,1646,330.54154,18.495,1230,2.8989727,0,9.469857645,0.050777024,Unhabbitable
TOI-3819 b,558.141,0.85,1633,352.78953,13.137,1186,3.2443141,0,20.03315557,0.068955151,Unhabbitable
TOI-3884 b,43.1448,0.424,463,16.5,6,7.42,4.5445697,0.32,4.491666667,0.25559292,Unhabbitable
TOI-3912 b,465.992,0.243,1512,129.03833,14.28,872.2,3.4936264,0,6.201380719,0.064374738,Unhabbitable
TOI-3976 A b,516.087,0.165,1295,55.61997,12.274,469,6.607662,0,3.618133507,0.074563587,Unhabbitable
TOI-3984 A b,108.883,0.49,563,44,7.9,16.7,4.353326,0.23,6.909149175,0.16836539,Unhabbitable
TOI-4010 b,177.504,2.2,1441,11,3.02,714,1.348335,0.03,11.81965703,0.21030358,Unhabbitable
TOI-4010 c,177.504,0.5,907,20.31,5.93,112,5.414654,0.03,5.660132689,0.14184258,Unhabbitable
TOI-4010 d,177.504,0.9,650,38.15,6.18,30,14.70886,0.07,9.789120349,0.16324488,Unhabbitable
TOI-4087 b,301.676,0.57,1458,232.01474,13.047,753.9,3.1774835,0,13.35735067,0.069892308,Unhabbitable
TOI-4127 b,319.632,2.17,605,731.00534,12.285,22.3,56.39879,0.7471,47.46749393,0.10368593,Unhabbitable
TOI-4137 b,334.993,1.01,1570,457.67291,13.574,1013,3.8016122,0,24.34252322,0.067152419,Unhabbitable
TOI-4145 A b,205.387,0.32,1074,136.66622,13.305,223,4.0664428,0,7.565846059,0.07208073,Unhabbitable
TOI-4201 b,189.011,2.21,750,816.81901,12.666,53,3.5819134,0.083,49.89682881,0.087496282,Unhabbitable
TOI-421 b,74.7969,2.05,981,7.17,2.68,154.57,5.19672,0.163,9.783080864,0.2300217,Unhabbitable
TOI-421 c,74.7969,0.685,674,16.42,5.09,34.32,16.06819,0.152,6.211030527,0.17762407,Unhabbitable
TOI-4438 b,30.0346,1.85,435,5.4,2.52,6,7.44628,0.14,8.333333333,,Unhabbitable
TOI-4463 A b,173.117,0.595,1395,252.35576,13.26,633,2.8807198,0,14.06540525,0.069184993,Unhabbitable
TOI-4603 b,225.643,14.1,1677,4096.80817,11.68,1192,7.24599,0.325,294.2971247,0.076269373,Unhabbitable
TOI-4791 b,328.802,2.09,1472,734.18362,12.442,783.2,4.28088,0,46.47831475,0.072789188,Unhabbitable
TOI-4860 b,80.1423,0.75,694,86.7,8.7,42.5,1.5227591,0.008,11.22552517,0.12125119,Unhabbitable
TOI-500 b,47.3924,4.89,1617,1.42,1.166,1138,0.548177,0.063,10.23569459,0.29181607,Unhabbitable
TOI-519 b,115.557,0.551,754,166.85991,11.87,54,1.26523248,0.048,11.6058417,0.094167266,Unhabbitable
TOI-5205 b,86.4493,1.21,737,343,11.6,49,1.630757,0.02,24.98067776,0.097401838,Unhabbitable
TOI-5293 A b,162.229,0.56,675,170.4,11.9,34.6,2.930289,0.38,11.79238754,0.10063969,Unhabbitable
TOI-532 b,135.047,1.72,867,61.5,5.82,94.1,2.3266508,0,17.7932476,0.14653403,Unhabbitable
TOI-5344 b,138.367,0.8,679,135,9.7,35,3.792622,0.06,14.06100542,0.11007367,Unhabbitable
TOI-5542 b,348.849,1.6,441,419.5335,11.31,9.6,75.12375,0.018,32.14160141,0.087987532,Unhabbitable
TOI-561 b,85.799,3.8,2310,2,1.425,4745,0.4465688,0,9.652200677,0.28240928,Unhabbitable
TOI-561 c,85.799,1.2,800,5.39,2.91,68.2,10.778831,0.03,6.237762898,0.23132588,Unhabbitable
TOI-561 d,85.799,3.2,598,13.2,2.82,21.4,25.7124,0.122,16.26678738,0.27291757,Unhabbitable
TOI-561 e,85.799,4.2,415,12.6,2.55,4.96,77.03,0.079,18.98961938,0.43738613,Unhabbitable
TOI-564 b,199.581,1.7,1714,464.98529,11.433,1423,1.651144,0.072,34.86140472,0.077668164,Unhabbitable
TOI-6034 b,117.992,0.82,714,254,11.92,43,2.576184,0.04,17.51891807,,Unhabbitable
TOI-615 b,360.408,0.084,1666,138.25536,18.977,1286,4.6615983,0.39,3.762295801,0.049497961,Unhabbitable
TOI-622 b,123.297,0.507,1388,96.30201,9.236,602,6.402513,0.42,11.06352646,0.094100308,Unhabbitable
TOI-669 b,142.867,3,1235,9.8,2.6,388.2,3.94515,0.23,14.20710059,,Unhabbitable
TOI-674 b,46.0851,0.91,635,23.6,5.25,38.4,1.977143,0,8.391111111,0.17395572,Unhabbitable
TOI-733 b,75.2092,3.98,1056,5.72,1.992,207.1,4.884765,0.046,14.12678828,0.26125275,Unhabbitable
TOI-776 b,27.1701,3.4,514,4,1.85,11.5,8.24661,0.06,11.45361578,0.36934369,Unhabbitable
TOI-776 c,27.1701,3.5,415,5.3,2.02,4.9,15.6653,0.04,12.7291442,0.47504892,Unhabbitable
TOI-782 b,52.5122,7.99,435,19.1,2.734,5.91,8.0240015,0.19,25.04162009,,Unhabbitable
TOI-815 b,59.7117,1.64,686,7.6,2.94,36.9,11.197259,0.2,8.616780045,,Unhabbitable
TOI-815 c,59.7117,7.2,469,23.5,2.62,8.03,34.976145,0.22,33.54990968,,Unhabbitable
TOI-836 b,27.5024,5.02,871,4.53,1.704,78.84,3.81673,0.053,15.2892118,0.28643901,Unhabbitable
TOI-836 c,27.5024,3.06,665,9.6,2.587,26.71,8.59545,0.078,14.05738215,0.27615654,Unhabbitable
TOI-858 B b,250.489,0.69,1529,349.61125,14.067,908.9,3.2797178,0.15,17.314442,0.065172644,Unhabbitable
TOI-905 b,158.649,0.515,1192,211.99261,13.126,337,3.739494,0.024,12.05818653,0.071286988,Unhabbitable
TOI-908 b,175.748,2.742,1317,16.137,3.186,80.88,3.183792,0.132,15.5796369,0.20464016,Unhabbitable
TOI-954 b,238.768,0.35,1526,55.30242,9.55,1393,3.6849729,0.14,5.94242171,0.090618599,Unhabbitable
WASP-151 b,453.099,0.29,1290,98.5273,12.666,460,4.533471,0.003,6.018713768,0.069597747,Unhabbitable
WASP-153 b,610.176,0.15,1700,123.9537,17.374,1400,3.332609,0.009,4.024259114,0.053702234,Unhabbitable
WASP-156 b,122.066,1.3,970,40.68224,5.717,150,3.836169,0.007,12.19816627,0.14237201,Unhabbitable
WASP-166 b,114.173,0.54,1270,32.10083,7.062,440,5.44354,0,6.307930663,0.11771372,Unhabbitable
WASP-173 A b,232.98,2.02,1842,1102.8701,14.404,1920,1.3866529,0,52.09358105,0.067174568,Unhabbitable
WASP-174 b,410.149,0.135,1528,104.88337,16.107,901.9,4.2337005,0,3.961898923,0.057817199,Unhabbitable
WASP-178 b,427.678,0.238,2402,448.1403,21.745,5550,3.3448412,0,9.287979587,0.046016687,Unhabbitable
WASP-18 b,123.483,6.6,2429,3241.84975,13.899,5805,0.94145223,0.0051,164.456805,0.064870665,Unhabbitable
WASP-19 b,268.325,0.506,2113,366.77398,15.861,3320,0.78883852,0.0126,14.28773753,0.057760215,Unhabbitable
WASP-193 b,362.087,0.059,1254,44.17815,16.41,413,6.2463345,0.056,1.607742303,0.058251798,Unhabbitable
WASP-76 b,194.459,0.18,2231,289.22385,20.681,4130,1.80988158,0.016,6.627002118,0.045586607,Unhabbitable
WASP-77 A b,105.166,1.115,1715,529.81995,13.787,1440,1.36002854,0.0074,27.31585708,0.065961751,Unhabbitable
Wolf 327 b,28.5321,7.24,996,2.53,1.24,233.9,0.5734745,0,16.12513007,0.29481881,Unhabbitable
Wolf 503 b,44.526,4.03,789,6.27,2.043,64.7,6.00127,0.409,14.72166339,0.27110936,Unhabbitable
XO-7 b,234.149,0.34,1743,225.34147,15.39,1540,2.8641424,0.038,9.323735808,0.059801296,Unhabbitable
pi Men c,18.2702,2.97,1170,4.82,2.042,309,6.2679,0,11.32821906,0.25604224,Unhabbitable
